"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
350-2-000001,대해시장,공영,노외,경상북도 포항시 남구 문예로,경상북도 포항시 남구 해도동,21,2,미시행,평일,12:30,21:30,00:00,00:00,00:00,00:00,유료,20,500,10,200,1440,5000,,"현금, 신용카드","경차, 장애인 차량 50 할인",경상북도 포항시시설관리공단,054-280-9420,36.0188005,129.3685749,2018-09-30
350-2-000002,대도,공영,노외,경상북도 포항시 남구 송림로길,경상북도 포항시 남구 대도동,37,2,미시행,평일,11:00,20:00,00:00,00:00,00:00,00:00,유료,20,500,10,200,1440,5000,,"현금, 신용카드","경차, 장애인 차량 50 할인",경상북도 포항시시설관리공단,054-280-9420,36.0150538,129.3611681,2018-09-30
350-2-000003,큰동해 시장,공영,노외,경상북도 포항시 남구 중앙로,경상북도 포항시 남구 해도동,40,2,미시행,평일,11:00,20:00,00:00,00:00,00:00,00:00,유료,20,500,10,200,1440,5000,,"현금, 신용카드","경차, 장애인 차량 50 할인",경상북도 포항시시설관리공단,054-280-9420,36.0262006,129.371077,2018-09-30
350-2-000004,송도삼일,공영,노외,경상북도 포항시 남구 송도동 송도로,경상북도 포항시 남구 송도동,74,2,미시행,평일+토요일+공휴일,10:00,19:00,10:00,19:00,10:00,19:00,유료,20,500,10,200,1440,5000,,"현금, 신용카드","경차, 장애인 차량 50 할인",경상북도 포항시시설관리공단,054-280-9420,36.033933,129.373006,2018-09-30
350-2-000005,상도,공영,노외,경상북도 포항시 남구 상도로,경상북도 포항시 남구 상도동,20,2,미시행,평일,13:00,22:00,00:00,00:00,00:00,00:00,유료,20,500,10,200,1440,5000,,"현금, 신용카드","경차, 장애인 차량 50 할인",경상북도 포항시시설관리공단,054-280-9420,36.0140346,129.3569611,2018-09-30
350-2-000006,대이동,공영,노외,경상북도 포항시 남구 대이로 127번길 12-10,경상북도 포항시 남구 이동,175,2,미시행,평일+토요일+공휴일,09:00,00:00,09:00,23:59,09:00,23:59,유료,20,500,10,200,1440,5000,,"현금, 신용카드","경차, 장애인 차량 50 할인",경상북도 포항시시설관리공단,054-280-9420,36.035458,129.369863,2018-09-30
350-3-000001,포항시청 부설주차장,공영,부설,경상북도 포항시 남구 시청로 1(대잠동),경상북도 포항시 남구 대잠동 1001,686,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,23:59,23:59,23:59,혼합,60,0,30,500,1440,,,"현금, 신용카드","- 최초1시간 무료 (장애인, 유공자, 자원봉사자 최초2시간 무료)- 경차, 하이브리드, 장애인, 유공자, 자원봉사자 50 요금감면",경상북도 포항시시설관리공단,054-270-5502,36.0190333,129.3433898,2018-09-30
351-1-000001,시내노상,공영,노상,경상북도 포항시 북구 중앙로 341,경상북도 포항시 북구 덕수동 55-3,292,1,미시행,평일+토요일,10:00,19:00,10:00,19:00,10:00,19:00,유료,20,500,10,200,1440,10900,,"현금, 신용카드","경차, 장애인 차량 50 할인",경상북도 포항시시설관리공단,054-280-9420,36.035458,129.369863,2018-09-30
351-1-000002,어시장 노상,공영,노상,경상북도 포항시 북구 칠성로,경상북도 포항시 북구 죽도동,19,1,미시행,평일+토요일,10:00,19:00,10:00,19:00,10:00,19:00,유료,20,500,10,200,1440,10900,0,"현금, 신용카드","경차, 장애인 차량 50 할인",경상북도 포항시시설관리공단,054-280-9420,36.035458,129.369863,2018-09-30
351-1-000003,영일대,공영,노상,경상북도 포항시 북구 삼호로,경상북도 포항시 북구 두호동,185,1,미시행,평일+토요일,12:00,21:00,13:00,21:00,13:00,21:00,유료,20,500,10,200,1440,10900,0,"현금, 신용카드","경차, 장애인 차량 50 할인",경상북도 포항시시설관리공단,054-280-9420,36.0558574,129.3779474,2018-09-30
351-1-000004,칠성천,공영,노상,경상북도 포항시 북구 칠성로,경상북도 포항시 북구 죽도동,128,1,미시행,평일+토요일+공휴일,07:00,22:00,07:00,22:00,07:00,22:00,유료,20,500,10,200,1440,7000,,"현금, 신용카드","경차, 장애인 차량 50 할인",경상북도 포항시시설관리공단,054-280-9420,36.035458,129.369863,2018-09-30
351-1-000005,북부시장,공영,노상,경상북도 포항시 북구 삼호로,경상북도 포항시 북구 죽도동,17,2,미시행,평일,10:00,19:00,09:00,19:00,09:00,19:00,유료,20,500,10,200,1440,10900,,"현금, 신용카드","경차, 장애인 차량 50 할인",경상북도 포항시시설관리공단,054-280-9420,36.035458,129.369863,2018-09-30
351-2-000001,오거리,공영,노외,경상북도 포항시 북구 중앙로,경상북도 포항시 북구 죽도동,171,1,미시행,평일+토요일+공휴일,06:00,22:00,06:00,22:00,06:00,22:00,유료,20,500,10,200,1440,7000,,"현금, 신용카드","경차, 장애인 차량 50 할인",경상북도 포항시시설관리공단,054-280-9420,36.035458,129.369863,2018-09-30
351-2-000002,죽도어시장,공영,노외,경상북도 포항시 북구 칠성로,경상북도 포항시 북구 죽도동,169,1,미시행,평일+토요일+공휴일,07:00,22:00,07:00,22:00,07:00,22:00,유료,20,500,10,200,1440,7000,0,"현금, 신용카드","경차, 장애인 차량 50 할인",경상북도 포항시시설관리공단,054-280-9420,36.035458,129.369863,2018-09-30
351-2-000003,동빈부두,공영,노외,경상북도 포항시 북구 칠성로,경상북도 포항시 북구 죽도동,55,1,미시행,평일+토요일+공휴일,10:00,19:00,10:00,19:00,10:00,19:00,유료,20,500,10,200,1440,7000,,"현금, 신용카드","경차, 장애인 차량 50 할인",경상북도 포항시시설관리공단,054-280-9420,36.035458,129.369863,2018-09-30
351-2-000004,포항역,공영,노외,경상북도 포항시 북구 달전로,경상북도 포항시 북구 흥해읍 이인리,405,2,미시행,평일+토요일+공휴일,00:00,00:00,00:00,23:59,23:59,23:59,유료,20,500,10,200,1440,5000,0,"현금, 신용카드","경차, 장애인 차량 50 할인",경상북도 포항시시설관리공단,054-280-9420,36.0717154,129.3417325,2018-09-30
